"時点","東京都"
"1975年","31.5"
"1976年","29.1"
"1977年","29.8"
"1978年","33.0"
"1979年","31.0"
"1980年","27.4"
"1981年","30.0"
"1982年","30.2"
"1983年","31.0"
"1984年","32.4"
"1985年","31.6"
"1986年","30.4"
"1987年","30.8"
"1988年","30.2"
"1989年","30.5"
"1990年","32.4"
"1991年","30.1"
"1992年","30.4"
"1993年","28.0"
"1994年","32.9"
"1995年","33.7"
"1996年","30.0"
"1997年","30.7"
"1998年","31.0"
"1999年","32.3"
"2000年","32.4"
"2001年","33.0"
"2002年","32.1"
"2003年","29.5"
"2004年","33.1"
"2005年","31.8"
"2006年","31.1"
"2007年","33.0"
"2008年","30.9"
"2009年","30.1"
"2010年","33.5"
"2011年","31.2"
"2012年","33.1"
"2013年","33.2"
"2014年","31.2"
"2015年","30.5"
"2016年","31.6"
"2017年","31.8"
"2018年","32.7"
"2019年","32.8"